State,Congressional District,Age: 35 -- 64,Farms by Size: 1 to 9 acres (Number),Farms by Size: 1 to 9 acres (Percent of Total),Land in Farms by Use (%): Cropland,Market Value of Agricultural Products Sold: Crops,Market Value of Agricultural Products Sold: Total,Other characteristics: New and beginning farmers,Per farm average ($): Market value of products sold,Per farm average ($): Net cash farm income,Per farm average ($): Percent of state agriculture sales,Per farm average ($): Total farm production expenses,Percent of farms that: Are family farms,Percent of farms that: Have internet access,Percent of farms that: Hire farm labor,Race: White,Sex: Female,Sex: Male,Share of Sales by Type (%): Crops,Total ($): Market value of products sold,Total ($): Net cash farm income,Total ($): Total farm production expenses,Total Producers,"Total and Per Farm Overview, 2022: Average size of farm (acres)","Total and Per Farm Overview, 2022: Land in farms (acres)","Total and Per Farm Overview, 2022: Number of farms",District_ID
17,08,76,26,37,82.0,53905.0,58142.0,27,830606.0,230355.0,,628176.0,77,76,41,127,52,75,93.0,58142000.0,16125000.0,43972000.0,127,94.0,6606.0,70,1708
17,09,103,57,61,87.0,8599.0,9189.0,93,98802.0,17758.0,,98221.0,91,77,41,187,64,135,94.0,9189000.0,1651000.0,9135000.0,199,54.0,5009.0,93,1709
17,10,396,158,36,80.0,80053.0,83723.0,273,188991.0,30272.0,,182045.0,92,81,27,783,287,500,96.0,83723000.0,13411000.0,80646000.0,787,156.0,69184.0,443,1710
17,11,1008,228,22,93.0,313650.0,423832.0,552,411088.0,109861.0,2.0,324197.0,92,84,30,1833,643,1203,74.0,423832000.0,113267000.0,334247000.0,1846,269.0,276959.0,1031,1711
17,12,16530,1015,5,84.0,4290406.0,5371195.0,7994,285171.0,97588.0,20.0,202019.0,94,75,21,31531,8711,23020,80.0,5371195000.0,1838073000.0,3805024000.0,31731,344.0,6477882.0,18835,1712
17,13,2335,279,11,90.0,1019898.0,1108216.0,1265,418511.0,169220.0,4.0,270873.0,92,83,24,4538,1293,3298,92.0,1108216000.0,448095000.0,717272000.0,4591,403.0,1068002.0,2648,1713
17,14,2200,330,13,94.0,967682.0,1110549.0,1206,440869.0,158110.0,4.0,301997.0,92,86,27,4291,1200,3117,87.0,1110549000.0,398280000.0,760730000.0,4317,355.0,893006.0,2519,1714
17,15,18603,1648,8,85.0,7005021.0,8166106.0,10038,382738.0,151948.0,31.0,250644.0,93,78,25,36370,10132,26446,86.0,8166106000.0,3241973000.0,5347746000.0,36578,395.0,8433624.0,21336,1715
17,16,10668,1261,10,91.0,4326505.0,5046364.0,5576,407655.0,158900.0,19.0,270274.0,93,83,26,20810,5911,15002,86.0,5046364000.0,1967018000.0,3345718000.0,20913,364.0,4507154.0,12379,1716
17,17,5799,503,8,84.0,2046529.0,2548713.0,3064,392653.0,148011.0,10.0,265840.0,93,81,27,11139,3128,8107,80.0,2548713000.0,960738000.0,1725570000.0,11235,359.0,2333422.0,6491,1717
18,01,1024,127,12,89.0,280637.0,299878.0,590,289457.0,88181.0,2.0,215818.0,92,84,22,1834,641,1212,94.0,299878000.0,91355000.0,223588000.0,1853,323.0,335014.0,1036,1801
18,02,7190,1150,15,90.0,1719447.0,2984400.0,3910,390526.0,127446.0,17.0,275978.0,95,65,23,13396,4525,8956,58.0,2984400000.0,973943000.0,2109024000.0,13481,265.0,2028896.0,7642,1802
18,03,10917,1433,13,88.0,1704138.0,3308846.0,5550,302565.0,100487.0,18.0,211651.0,95,58,20,19173,6380,12874,52.0,3308846000.0,1098930000.0,2314614000.0,19254,203.0,2222406.0,10936,1803
18,04,7100,976,13,90.0,2714607.0,3858153.0,3757,510068.0,169699.0,21.0,358889.0,91,82,27,13379,4389,9113,70.0,3858153000.0,1283602000.0,2714640000.0,13502,392.0,2963374.0,7564,1804
18,05,2773,479,16,94.0,903608.0,1000181.0,1606,336761.0,106986.0,6.0,243542.0,93,85,26,5262,1804,3504,90.0,1000181000.0,317750000.0,723320000.0,5308,316.0,939828.0,2970,1805
18,06,4342,634,14,91.0,1254510.0,1513527.0,2094,325840.0,111786.0,8.0,227748.0,95,81,26,7961,2656,5356,83.0,1513527000.0,519246000.0,1057889000.0,8012,306.0,1422272.0,4645,1806
18,07,88,30,47,76.0,2909.0,4362.0,93,68149.0,10167.0,,88609.0,72,94,48,121,54,86,67.0,4362000.0,651000.0,5671000.0,140,31.0,1992.0,64,1807
18,08,9368,838,8,81.0,2257442.0,3517997.0,4590,355497.0,139123.0,20.0,228488.0,94,74,22,17378,5363,12158,64.0,3517997000.0,1376760000.0,2261119000.0,17521,302.0,2984535.0,9896,1808
18,09,8244,751,8,68.0,953077.0,1541690.0,4238,174281.0,53926.0,9.0,128660.0,96,77,18,15094,5149,10062,62.0,1541690000.0,477033000.0,1138124000.0,15211,193.0,1703923.0,8846,1809
19,01,17202,1545,8,82.0,3881410.0,6538848.0,9159,353051.0,116689.0,15.0,256960.0,93,81,23,32976,11235,21907,59.0,6538848000.0,2161190000.0,4759150000.0,33142,293.0,5426304.0,18521,1901
19,02,21879,1974,8,88.0,6085924.0,10828489.0,11271,459379.0,152685.0,25.0,331597.0,94,82,27,41470,13566,28042,56.0,10828489000.0,3599090000.0,7816407000.0,41608,300.0,7069032.0,23572,1902
19,03,13404,949,6,75.0,2736176.0,4434869.0,7436,298102.0,92541.0,10.0,228120.0,94,78,22,26381,9209,17341,62.0,4434869000.0,1376740000.0,3393734000.0,26550,363.0,5393072.0,14877,1903
19,04,27080,2802,9,93.0,10861271.0,22133281.0,13398,739230.0,252924.0,50.0,520072.0,92,84,32,52207,16253,36127,49.0,22133281000.0,7572783000.0,15571469000.0,52380,404.0,12089757.0,29941,1904
20,01,24036,810,3,68.0,5372351.0,17937215.0,13212,673622.0,108036.0,75.0,607072.0,91,80,28,48126,16342,32287,30.0,17937215000.0,2876785000.0,16165119000.0,48629,1054.0,28064054.0,26628,2001
20,02,14973,993,6,54.0,1625254.0,2922083.0,8331,183663.0,43413.0,12.0,155603.0,95,79,20,27651,10035,18380,56.0,2922083000.0,690698000.0,2475639000.0,28415,495.0,7875909.0,15910,2002
20,03,3094,260,8,59.0,192461.0,306071.0,1901,93286.0,15114.0,1.0,88433.0,96,78,17,5697,2159,3649,63.0,306071000.0,49588000.0,290149000.0,5808,265.0,869150.0,3281,2003
20,04,8879,476,5,55.0,1225950.0,2819776.0,5091,284395.0,45866.0,12.0,262240.0,93,79,24,17450,6043,11760,43.0,2819776000.0,454762000.0,2600113000.0,17803,805.0,7985589.0,9915,2004
21,01,19038,1259,6,65.0,2127493.0,3874580.0,10254,189235.0,65450.0,48.0,133534.0,97,74,21,34364,11777,23119,55.0,3874580000.0,1340088000.0,2734102000.0,34896,232.0,4751456.0,20475,2101
21,02,15021,1042,7,56.0,999303.0,2032887.0,8073,128072.0,41016.0,25.0,94112.0,97,74,16,26459,9141,17719,49.0,2032887000.0,651049000.0,1493836000.0,26860,174.0,2768197.0,15873,2102
21,03,118,38,27,58.0,2123.0,2958.0,63,20981.0,6703.0,,23744.0,89,89,21,225,95,139,72.0,2958000.0,945000.0,3348000.0,234,43.0,6037.0,141,2103
21,04,11562,821,7,41.0,290460.0,441962.0,6523,36641.0,3355.0,6.0,36975.0,97,76,17,20864,7783,13336,66.0,441962000.0,40463000.0,445988000.0,21119,138.0,1668636.0,12062,2104
21,05,9958,817,8,30.0,145828.0,345018.0,5684,32728.0,3711.0,4.0,30997.0,98,76,17,17590,6292,11548,42.0,345018000.0,39125000.0,326773000.0,17840,149.0,1574906.0,10542,2105
21,06,10058,822,8,38.0,226151.0,1308340.0,6062,126630.0,37260.0,16.0,106587.0,96,79,22,17927,6794,11389,17.0,1308340000.0,384971000.0,1101257000.0,18183,161.0,1661958.0,10332,2106
22,01,1292,379,26,10.0,36885.0,75379.0,856,51665.0,2345.0,2.0,53436.0,94,85,20,2412,990,1490,49.0,75379000.0,3422000.0,77963000.0,2480,303.0,442754.0,1459,2201
22,02,254,84,25,45.0,187663.0,193868.0,206,585705.0,171858.0,4.0,423609.0,89,85,30,540,165,415,97.0,193868000.0,56885000.0,140214000.0,580,775.0,256618.0,331,2202
22,03,4546,668,14,57.0,848495.0,1012672.0,2609,212836.0,52229.0,21.0,172293.0,93,79,26,7470,2532,5345,84.0,1012672000.0,248508000.0,819771000.0,7877,349.0,1661028.0,4758,2203
22,04,6651,655,9,41.0,326537.0,1053481.0,4067,146949.0,49268.0,22.0,105049.0,95,77,20,10851,4533,7742,31.0,1053481000.0,353199000.0,753098000.0,12275,241.0,1724615.0,7169,2204
22,05,8746,833,8,65.0,1712290.0,2171596.0,5122,221275.0,58522.0,45.0,177586.0,92,75,26,15459,6013,10818,79.0,2171596000.0,574335000.0,1742833000.0,16831,368.0,3611606.0,9814,2205
22,06,1516,394,27,60.0,254804.0,300126.0,918,203475.0,47692.0,6.0,160315.0,95,80,20,2245,927,1581,85.0,300126000.0,70345000.0,236465000.0,2508,196.0,289760.0,1475,2206
23,01,2310,580,24,36.0,78685.0,165747.0,1612,69700.0,13187.0,19.0,65170.0,95,90,27,4335,1985,2431,47.0,165747000.0,31359000.0,154973000.0,4416,93.0,220997.0,2378,2301
23,02,4498,671,14,37.0,492572.0,703780.0,3069,151091.0,47548.0,81.0,111757.0,96,84,27,8365,3643,4994,70.0,703780000.0,221478000.0,520565000.0,8637,216.0,1004049.0,4658,2302
24,01,4347,571,12,77.0,903037.0,2581107.0,2349,558560.0,165146.0,76.0,414293.0,93,82,27,8115,2984,5495,35.0,2581107000.0,763138000.0,1914450000.0,8479,227.0,1050281.0,4621,2401
24,02,1592,332,21,68.0,123197.0,181162.0,954,116653.0,27162.0,5.0,100552.0,94,85,20,2876,1188,1719,68.0,181162000.0,42182000.0,156157000.0,2907,106.0,165253.0,1553,2402
24,03,575,167,32,56.0,34496.0,38446.0,413,72814.0,3237.0,1.0,91642.0,90,88,30,1022,458,622,90.0,38446000.0,1709000.0,48387000.0,1080,93.0,49141.0,528,2403
24,04,80,36,46,37.0,4151.0,6352.0,62,81438.0,9555.0,,116519.0,90,83,29,131,76,81,65.0,6352000.0,745000.0,9088000.0,157,70.0,5427.0,78,2404
24,05,2016,360,18,58.0,91069.0,109127.0,1240,54728.0,8683.0,3.0,52634.0,95,75,20,3505,1346,2345,83.0,109127000.0,17314000.0,104953000.0,3691,99.0,198365.0,1994,2405
24,06,3653,434,12,66.0,222571.0,439248.0,2091,124609.0,31672.0,13.0,105684.0,95,79,22,6528,2554,4105,51.0,439248000.0,111643000.0,372538000.0,6659,139.0,491708.0,3525,2406
24,07,23,22,81,45.0,914.0,940.0,36,34805.0,93599.0,,148317.0,59,70,37,27,28,29,97.0,940000.0,2527000.0,4005000.0,57,12.0,332.0,27,2407
24,08,273,116,52,67.0,20154.0,21689.0,174,96828.0,10463.0,1.0,100241.0,93,84,27,442,226,251,93.0,21689000.0,2344000.0,22454000.0,477,78.0,17529.0,224,2408
25,01,1657,417,24,30.0,58048.0,89319.0,1025,51304.0,7151.0,15.0,55810.0,95,86,20,3229,1424,1860,65.0,89319000.0,12450000.0,97166000.0,3284,90.0,155834.0,1741,2501
25,02,1867,453,24,35.0,139678.0,180367.0,1115,95231.0,15192.0,30.0,93975.0,94,87,28,3488,1534,2047,77.0,180367000.0,28774000.0,177989000.0,3581,77.0,145960.0,1894,2502
25,03,857,346,39,44.0,56764.0,69300.0,594,78571.0,4811.0,11.0,91109.0,94,84,31,1440,742,852,82.0,69300000.0,4243000.0,80358000.0,1594,42.0,37259.0,882,2503
25,04,486,138,26,36.0,33424.0,39872.0,225,74111.0,6384.0,7.0,88544.0,91,84,29,904,389,532,84.0,39872000.0,3435000.0,47637000.0,921,50.0,27138.0,538,2504
25,05,108,49,53,59.0,32205.0,32403.0,67,348425.0,64431.0,5.0,293206.0,68,81,58,199,74,129,99.0,32403000.0,5992000.0,27268000.0,203,33.0,3053.0,93,2505
25,06,421,148,34,43.0,25048.0,34667.0,224,78788.0,10306.0,6.0,93990.0,93,92,38,834,415,427,72.0,34667000.0,4535000.0,41356000.0,842,37.0,16340.0,440,2506
25,07,10,13,57,63.0,948.0,1161.0,12,50464.0,,,178629.0,70,83,35,31,18,14,82.0,1161000.0,,4108000.0,32,11.0,243.0,23,2507
25,08,172,55,41,49.0,5790.0,8048.0,87,60510.0,,1.0,70098.0,86,89,35,297,132,180,72.0,8048000.0,,9323000.0,312,36.0,4777.0,133,2508
25,09,1256,552,41,33.0,106489.0,152024.0,721,113536.0,25645.0,25.0,115834.0,90,85,40,2439,963,1552,70.0,152024000.0,34338000.0,155101000.0,2515,55.0,73847.0,1339,2509
26,01,7007,717,10,57.0,434311.0,915618.0,4772,126432.0,29535.0,7.0,106032.0,96,77,20,12800,4856,8218,47.0,915618000.0,213895000.0,767882000.0,13074,179.0,1296181.0,7242,2601
26,02,9841,973,10,77.0,1407882.0,3132451.0,5669,312153.0,76381.0,26.0,247578.0,96,77,21,17376,6086,11501,45.0,3132451000.0,766480000.0,2484446000.0,17587,207.0,2081646.0,10035,2602
26,03,1013,175,20,73.0,344436.0,576674.0,483,646495.0,155639.0,5.0,510969.0,92,88,34,1672,575,1118,60.0,576674000.0,138830000.0,455785000.0,1693,130.0,115924.0,892,2603
26,04,3328,544,17,78.0,904028.0,1638756.0,1844,504854.0,115351.0,13.0,406204.0,95,83,31,5691,2018,3842,55.0,1638756000.0,374430000.0,1318537000.0,5860,166.0,537983.0,3246,2604
26,05,7789,1024,12,83.0,1564408.0,2293446.0,4279,279008.0,69891.0,19.0,222859.0,96,77,22,14054,4830,9427,68.0,2293446000.0,574507000.0,1831901000.0,14257,246.0,2023322.0,8220,2605
26,06,1592,279,19,82.0,136811.0,180185.0,1189,122242.0,16252.0,1.0,117705.0,94,87,26,2639,1078,1622,76.0,180185000.0,23955000.0,173497000.0,2700,129.0,190124.0,1474,2606
26,07,4480,721,16,86.0,497693.0,874328.0,2687,195075.0,44453.0,7.0,158510.0,96,84,20,7735,2946,4966,57.0,874328000.0,199239000.0,710441000.0,7912,197.0,881711.0,4482,2607
26,08,2727,355,12,89.0,495313.0,533718.0,1551,173398.0,42284.0,4.0,140795.0,95,79,22,5011,1650,3480,93.0,533718000.0,130151000.0,433366000.0,5130,216.0,664743.0,3078,2608
26,09,6601,851,13,88.0,1209201.0,2013314.0,3622,302027.0,83791.0,16.0,232888.0,95,80,24,11599,3943,7809,60.0,2013314000.0,558554000.0,1552430000.0,11752,251.0,1672010.0,6666,2609
26,10,55,14,33,85.0,46036.0,46284.0,34,1101995.0,230799.0,,1101824.0,100,83,57,94,34,63,99.0,46284000.0,9694000.0,46277000.0,97,125.0,5243.0,42,2610
26,11,104,39,51,36.0,3154.0,3605.0,93,47431.0,33891.0,,97274.0,89,88,26,170,86,84,87.0,3605000.0,2576000.0,7393000.0,170,22.0,1645.0,76,2611
26,12,25,29,81,63.0,,1083.0,38,30087.0,2378.0,,39203.0,94,97,36,41,17,30,,1083000.0,86000.0,1411000.0,47,8.0,288.0,36,2612
26,13,121,81,88,89.0,,3282.0,137,35673.0,47077.0,,87448.0,72,76,45,123,82,112,,3282000.0,4331000.0,8045000.0,194,14.0,1249.0,92,2613
27,01,16848,1435,8,89.0,5718976.0,10385466.0,7367,588578.0,180606.0,36.0,428501.0,94,85,30,31025,9286,21924,55.0,10385466000.0,3186796000.0,7560903000.0,31210,378.0,6676963.0,17645,2701
27,02,3133,355,12,88.0,638192.0,882171.0,1584,287072.0,87602.0,3.0,214677.0,93,85,23,5453,1867,3673,72.0,882171000.0,269201000.0,659703000.0,5540,212.0,651017.0,3073,2702
27,03,445,124,28,66.0,44676.0,49311.0,351,110811.0,24960.0,,97252.0,96,85,25,776,308,489,91.0,49311000.0,11107000.0,43277000.0,797,68.0,30457.0,445,2703
27,04,243,89,35,78.0,,,202,,,,61051.0,91,88,35,396,186,262,,,,15324000.0,448,65.0,16212.0,251,2704
27,05,18,13,50,77.0,,,32,,,,279852.0,100,88,31,46,27,25,,,,7276000.0,52,28.0,732.0,26,2705
27,06,4017,399,10,80.0,564450.0,1007689.0,2157,253315.0,85174.0,4.0,182498.0,96,83,22,6892,2447,4498,56.0,1007689000.0,338824000.0,725978000.0,6945,183.0,727219.0,3978,2706
27,07,29496,1502,5,87.0,9601597.0,15324744.0,13118,490125.0,167444.0,54.0,356321.0,94,81,29,54328,15840,38790,63.0,15324744000.0,5235463000.0,11141081000.0,54630,485.0,15175706.0,31267,2707
27,08,8598,484,5,56.0,553177.0,808328.0,4775,91378.0,28351.0,3.0,70886.0,97,81,15,14948,5662,9584,68.0,808328000.0,250797000.0,627061000.0,15246,245.0,2164319.0,8846,2708
28,01,6411,313,4,45.0,508312.0,723591.0,4231,89101.0,14829.0,9.0,81677.0,95,73,20,12007,4408,8763,70.0,723591000.0,120424000.0,663300000.0,13171,290.0,2352504.0,8121,2801
28,02,7719,334,4,63.0,2543071.0,3441145.0,4769,367565.0,102289.0,42.0,288395.0,89,72,31,12817,5066,10754,74.0,3441145000.0,957629000.0,2699952000.0,15820,578.0,5414420.0,9362,2802
28,03,7600,464,5,27.0,192268.0,3234251.0,4552,361530.0,150837.0,39.0,217577.0,96,73,22,12393,5278,9469,6.0,3234251000.0,1349390000.0,1946447000.0,14747,207.0,1855990.0,8946,2803
28,04,4612,514,11,23.0,74531.0,848788.0,3134,174612.0,64881.0,10.0,112823.0,98,78,18,7923,3151,5136,9.0,848788000.0,315388000.0,548434000.0,8287,129.0,628583.0,4861,2804
29,01,113,50,53,81.0,9447.0,9825.0,100,104522.0,27688.0,,92994.0,85,81,38,167,65,118,96.0,9825000.0,2603000.0,8741000.0,183,89.0,8328.0,94,2901
29,02,2397,276,11,53.0,126014.0,187045.0,1379,77323.0,9470.0,1.0,73306.0,94,77,17,4341,1535,2866,67.0,187045000.0,22907000.0,177328000.0,4401,176.0,424740.0,2419,2902
29,03,10011,459,4,42.0,471177.0,1196323.0,5471,115654.0,38659.0,8.0,83005.0,95,77,16,18489,6484,12235,39.0,1196323000.0,399889000.0,858601000.0,18719,256.0,2645305.0,10344,2903
29,04,19477,933,5,52.0,1444431.0,3465940.0,10621,167283.0,54904.0,24.0,124074.0,96,76,18,36196,13700,23094,42.0,3465940000.0,1137555000.0,2570696000.0,36794,310.0,6430727.0,20719,2904
29,05,243,57,28,52.0,2405.0,3160.0,195,15341.0,20101.0,,42935.0,91,86,24,341,165,214,76.0,3160000.0,4141000.0,8845000.0,379,47.0,9664.0,206,2905
29,06,24362,1040,4,67.0,3754140.0,5312044.0,13271,195901.0,68095.0,36.0,142372.0,94,74,18,47390,16846,31095,71.0,5312044000.0,1846456000.0,3860563000.0,47941,353.0,9560680.0,27116,2906
29,07,10755,823,8,33.0,126525.0,1955540.0,6473,178621.0,71579.0,13.0,114626.0,97,77,16,18799,7777,11734,6.0,1955540000.0,783644000.0,1254922000.0,19511,181.0,1978336.0,10948,2907
29,08,15072,620,4,50.0,1926967.0,2567144.0,8802,160036.0,49003.0,17.0,119510.0,96,76,20,28203,10591,18133,75.0,2567144000.0,786062000.0,1917060000.0,28724,372.0,5968463.0,16041,2908
30,01,6919,1044,13,20.0,365409.0,817389.0,3971,102237.0,20429.0,18.0,96571.0,94,84,21,13955,6248,8557,45.0,817389000.0,163333000.0,772081000.0,14805,864.0,6911078.0,7995,3001
30,02,14868,662,4,29.0,2118047.0,3727148.0,7753,229067.0,59890.0,82.0,220759.0,92,84,29,29053,11582,18671,57.0,3727148000.0,974464000.0,3591970000.0,30253,3115.0,50690242.0,16271,3002
31,01,7835,716,8,88.0,2299525.0,5830796.0,4017,688243.0,179182.0,20.0,537787.0,94,82,28,14890,4809,10143,39.0,5830796000.0,1518033000.0,4556128000.0,14952,395.0,3350555.0,8472,3101
31,02,1578,186,11,90.0,424437.0,610971.0,771,357293.0,115013.0,2.0,263041.0,93,85,26,2956,950,2024,69.0,610971000.0,196672000.0,449800000.0,2974,337.0,576747.0,1710,3102
31,03,32219,2054,6,44.0,11284008.0,22971631.0,16138,669785.0,173945.0,78.0,537601.0,93,83,33,62072,20605,41752,49.0,22971631000.0,5965783000.0,18438094000.0,62357,1168.0,40048391.0,34297,3103
32,01,13,11,52,29.0,,329.0,7,15658.0,23080.0,,41653.0,100,81,24,29,13,21,,329000.0,485000.0,875000.0,34,46.0,964.0,21,3201
32,02,2499,667,26,11.0,379430.0,814301.0,1540,318709.0,101053.0,85.0,244149.0,93,85,25,4314,2010,2633,47.0,814301000.0,258192000.0,623800000.0,4643,2063.0,5271551.0,2555,3202
32,03,40,27,69,33.0,,2810.0,44,72062.0,6980.0,,76363.0,62,67,10,73,29,50,,2810000.0,272000.0,2978000.0,79,100.0,3886.0,39,3203
32,04,526,162,32,12.0,58827.0,142241.0,344,280554.0,48425.0,15.0,245671.0,87,81,29,783,383,569,41.0,142241000.0,24552000.0,124555000.0,952,1223.0,620253.0,507,3204
33,01,1188,366,29,26.0,34237.0,52540.0,874,41305.0,835.0,21.0,55571.0,96,90,22,2283,1059,1270,65.0,52540000.0,1062000.0,70686000.0,2329,74.0,94618.0,1272,3301
33,02,2537,525,20,25.0,110109.0,196764.0,1670,73502.0,10086.0,79.0,70933.0,96,89,20,4797,2171,2709,56.0,196764000.0,26999000.0,189889000.0,4880,120.0,322569.0,2677,3302
34,01,385,98,28,75.0,58223.0,62764.0,195,181398.0,28977.0,4.0,161760.0,95,76,29,617,227,419,93.0,62764000.0,10026000.0,55969000.0,646,55.0,18974.0,346,3401
34,02,2383,596,25,74.0,689495.0,721350.0,1205,303216.0,57993.0,48.0,254618.0,94,81,28,4108,1480,2724,96.0,721350000.0,137965000.0,605735000.0,4204,99.0,236158.0,2379,3402
34,03,1431,468,32,58.0,213201.0,237781.0,709,162419.0,25279.0,16.0,161377.0,93,83,32,2677,1031,1752,90.0,237781000.0,37009000.0,236256000.0,2783,90.0,131056.0,1464,3403
34,04,704,237,38,50.0,52761.0,62375.0,450,100120.0,27442.0,4.0,107590.0,91,79,31,1167,441,770,85.0,62375000.0,17096000.0,67029000.0,1211,27.0,16595.0,623,3404
34,05,955,290,31,48.0,21904.0,29509.0,544,31293.0,901.0,2.0,36676.0,95,80,14,1701,675,1049,74.0,29509000.0,850000.0,34586000.0,1724,56.0,52342.0,943,3405
34,06,77,20,30,58.0,12572.0,13152.0,47,199274.0,31560.0,1.0,233406.0,85,74,42,113,14,101,96.0,13152000.0,2083000.0,15405000.0,115,46.0,3032.0,66,3406
34,07,3438,842,25,58.0,234833.0,281377.0,1946,83149.0,6080.0,19.0,87185.0,95,83,23,6173,2597,3728,83.0,281377000.0,20574000.0,295034000.0,6325,61.0,207975.0,3384,3407
34,08,28,10,83,30.0,,,21,,,,,25,75,58,32,16,23,,,,,39,,,12,3408
34,09,27,15,83,70.0,4221.0,4237.0,8,235382.0,27417.0,,212596.0,89,78,50,44,23,21,100.0,4237000.0,494000.0,3827000.0,44,9.0,155.0,18,3409
34,11,242,97,46,40.0,16307.0,17386.0,170,83186.0,16576.0,1.0,141681.0,90,87,35,438,166,280,94.0,17386000.0,3464000.0,29611000.0,446,26.0,5342.0,209,3411
34,12,567,168,31,67.0,45364.0,53634.0,266,98230.0,25257.0,4.0,91984.0,92,87,25,948,389,644,85.0,53634000.0,13791000.0,50223000.0,1033,73.0,39816.0,546,3412
35,01,2490,1039,37,2.0,50926.0,158721.0,1497,56244.0,4344.0,5.0,63226.0,96,77,21,4842,2114,3039,32.0,158721000.0,12259000.0,178424000.0,5153,2261.0,6380877.0,2822,3501
35,02,5538,2747,44,3.0,419281.0,733452.0,3078,117090.0,26951.0,25.0,101478.0,95,75,21,9760,4483,6745,57.0,733452000.0,168819000.0,635658000.0,11228,1873.0,11734022.0,6264,3502
35,03,9355,3148,26,8.0,425722.0,2056863.0,5251,172991.0,40089.0,70.0,145444.0,95,66,18,13558,8417,12225,21.0,2056863000.0,476660000.0,1729327000.0,20642,1767.0,21013664.0,11890,3503
36,01,640,143,31,74.0,235917.0,258108.0,276,552695.0,135733.0,3.0,470295.0,87,90,67,1072,421,656,91.0,258108000.0,63388000.0,219628000.0,1077,65.0,30168.0,467,3601
36,02,133,58,52,70.0,103889.0,106051.0,64,955415.0,11724.0,1.0,958210.0,82,93,61,200,82,127,98.0,106051000.0,1301000.0,106361000.0,209,33.0,3653.0,111,3602
36,03,41,12,41,40.0,2781.0,8782.0,15,302819.0,131204.0,,220693.0,86,83,52,61,25,39,32.0,8782000.0,3805000.0,6400000.0,64,23.0,665.0,29,3603
36,09,17,15,100,,,7109.0,19,473919.0,,,402499.0,67,80,27,15,13,17,,7109000.0,,6037000.0,30,,,15,3609
36,13,24,12,100,100.0,21.0,26.0,18,2205.0,,,64890.0,50,58,50,1,13,18,80.0,26000.0,,779000.0,31,1.0,12.0,12,3613
36,14,29,16,94,,185.0,,19,,,,,29,100,24,37,21,18,76.0,,,,39,,,17,3614
36,17,256,65,24,31.0,14691.0,24782.0,173,91112.0,9185.0,,152815.0,84,90,44,571,232,360,59.0,24782000.0,2498000.0,41566000.0,592,76.0,20733.0,272,3617
36,18,1604,215,14,49.0,186640.0,231268.0,1049,154591.0,11324.0,3.0,174833.0,90,89,42,3047,1244,1893,81.0,231268000.0,16941000.0,261551000.0,3137,132.0,197290.0,1496,3618
36,19,4273,487,11,53.0,238316.0,718868.0,2328,158097.0,45113.0,9.0,122686.0,94,81,23,8285,3344,5095,33.0,718868000.0,205129000.0,557851000.0,8439,200.0,909643.0,4547,3619
36,20,1112,189,17,60.0,76849.0,170601.0,690,151511.0,30512.0,2.0,142840.0,93,86,28,2108,901,1257,45.0,170601000.0,34357000.0,160838000.0,2158,124.0,139765.0,1126,3620
36,21,6797,527,8,56.0,313699.0,1605385.0,3450,244462.0,72328.0,20.0,180179.0,95,77,22,12016,4645,7584,20.0,1605385000.0,474978000.0,1183238000.0,12229,234.0,1539218.0,6567,3621
36,22,2319,180,9,65.0,222606.0,652621.0,1021,314819.0,108970.0,8.0,219601.0,94,82,27,3947,1499,2493,34.0,652621000.0,225894000.0,455232000.0,3992,253.0,524689.0,2073,3622
36,23,5728,568,10,58.0,348284.0,988694.0,2998,171499.0,51123.0,12.0,130852.0,96,77,22,10401,3933,6594,35.0,988694000.0,294722000.0,754362000.0,10527,197.0,1133240.0,5765,3623
36,24,6820,736,10,76.0,1136108.0,2990867.0,3511,422022.0,133172.0,37.0,309462.0,96,76,27,12952,4736,8330,38.0,2990867000.0,943789000.0,2193155000.0,13066,253.0,1795639.0,7087,3624
36,25,739,118,16,80.0,207368.0,219853.0,379,304506.0,73181.0,3.0,259319.0,96,85,31,1296,520,797,94.0,219853000.0,52837000.0,187228000.0,1317,206.0,148657.0,722,3625
36,26,339,59,18,69.0,43369.0,53410.0,218,161360.0,55828.0,1.0,123328.0,94,92,30,618,254,372,81.0,53410000.0,18479000.0,40821000.0,626,178.0,58801.0,331,3626
37,01,3642,352,9,76.0,1512066.0,2989727.0,2110,731700.0,212163.0,16.0,546425.0,92,79,36,6200,1866,4991,51.0,2989727000.0,866896000.0,2232693000.0,6857,491.0,2005096.0,4086,3701
37,02,384,72,20,62.0,21323.0,22195.0,273,61824.0,1808.0,,79586.0,96,85,31,622,223,484,96.0,22195000.0,649000.0,28572000.0,707,83.0,29863.0,359,3702
37,03,3598,443,11,75.0,1085484.0,6313112.0,2060,1595832.0,564976.0,34.0,1052201.0,90,80,37,6230,1866,4692,17.0,6313112000.0,2235045000.0,4162507000.0,6558,377.0,1489675.0,3956,3703
37,04,2320,288,11,42.0,,171187.0,1594,67476.0,8065.0,1.0,64971.0,95,80,23,4004,1570,2748,,171187000.0,20461000.0,164833000.0,4318,133.0,337013.0,2537,3704
37,05,5963,657,10,43.0,322654.0,1310553.0,3109,192728.0,61644.0,7.0,136892.0,96,77,21,11262,3824,7632,25.0,1310553000.0,419178000.0,930865000.0,11456,109.0,740218.0,6800,3705
